"type","number","activity","status","feeling"
"communal_worship",1,"","started",NA
"communal_worship",2,"","started",NA
"communal_worship",3,"","started",NA
"communal_worship",4,"","started",NA
"communal_worship",5,"","started",NA
"community",1,"hjhl","started",NA
"community",2,"","started",NA
"community",3,"","started",NA
"community",4,"","started",NA
"community",5,"","started",NA
"discipleship",1,"","started",NA
"discipleship",2,"","started",NA
"discipleship",3,"","started",NA
"discipleship",4,"","started",NA
"discipleship",5,"","started",NA
"evangelism",1,"","started",NA
"evangelism",2,"","started",NA
"evangelism",3,"","started",NA
"evangelism",4,"","started",NA
"evangelism",5,"","started",NA
"prayer",1,"","started",NA
"prayer",2,"","started",NA
"prayer",3,"","started",NA
"prayer",4,"","started",NA
"prayer",5,"","started",NA
"sacraments",1,"","started",NA
"sacraments",2,"","started",NA
"sacraments",3,"","started",NA
"sacraments",4,"","started",NA
"sacraments",5,"","started",NA
"social_action",1,"","started",NA
"social_action",2,"","started",NA
"social_action",3,"","started",NA
"social_action",4,"","started",NA
"social_action",5,"","started",NA
